player,team,team_abbrev,position,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
DaShawn Keirsey Jr.,Atlanta Braves,ATL,CF,1.000,1,0,0,0,1.000,1.000,2.000,1,1,0,0,2,680577,2026-09-21
Victor Mederos,Atlanta Braves,ATL,P,1.000,1,0,2,0,1.000,1.000,2.000,1,1,0,0,28,682989,2026-09-21
Jihwan Bae,Milwaukee Brewers,MIL,2B,.500,1,0,0,1,.667,.500,1.167,2,4,1,0,4,678225,2026-09-21
Jair Camargo,Atlanta Braves,ATL,C,.500,1,0,0,0,.500,1.000,1.500,2,2,1,0,1,665856,2026-09-21
Vimael Machín,Colorado Rockies,COL,3B,.500,3,0,0,0,.500,.500,1.000,6,6,2,0,3,605353,2026-09-21
Joshua Kuroda-Grauer,Athletics,ATH,3B,.417,25,1,4,0,.435,.583,1.018,60,62,7,1,16,811965,2026-09-21
Justin Dean,Chicago Cubs,CHC,RF,.375,3,0,3,1,.500,.625,1.125,8,10,4,2,17,681909,2026-09-21
Gustavo Campero,Los Angeles Angels,LAA,LF,.364,4,0,2,0,.333,.455,.788,11,12,4,0,4,672569,2026-09-21
José Azócar,Atlanta Braves,ATL,RF,.353,6,0,0,1,.389,.471,.860,17,18,4,1,11,640492,2026-09-21
Michael Arroyo,Seattle Mariners,SEA,2B,.350,7,1,3,1,.440,.600,1.040,20,25,5,4,9,703197,2026-09-21
Samad Taylor,San Diego Padres,SD,LF,.343,47,2,18,10,.417,.445,.862,137,159,40,17,42,669392,2026-09-21
Eduardo Valencia,Detroit Tigers,DET,C,.339,37,6,18,0,.368,.606,.974,109,115,27,3,36,680664,2026-09-21
Tyler Black,Milwaukee Brewers,MIL,DH,.333,9,0,7,0,.357,.481,.838,27,28,7,1,9,672012,2026-09-21
Omar Martinez,Los Angeles Angels,LAA,C,.333,1,0,0,0,.333,.333,.666,3,3,1,0,5,683079,2026-09-21
Brett Bateman,Toronto Blue Jays,TOR,CF,.322,48,2,11,3,.393,.416,.809,149,170,34,16,37,703520,2026-09-21
Yordan Alvarez,Houston Astros,HOU,DH,.313,170,40,99,1,.430,.597,1.027,543,663,115,105,152,670541,2026-09-21
Luis Arraez,Philadelphia Phillies,PHI,2B,.313,183,6,64,10,.348,.424,.772,585,644,28,34,148,650333,2026-09-21
Ronny Simon,Pittsburgh Pirates,PIT,RF,.313,15,1,4,3,.353,.438,.791,48,52,7,3,16,682927,2026-09-21
Leo Bernal,St. Louis Cardinals,STL,C,.311,23,4,17,0,.354,.514,.868,74,79,16,5,18,699024,2026-09-21
Chandler Simpson,Tampa Bay Rays,TB,LF,.309,172,0,38,46,.337,.360,.697,556,597,46,26,147,802415,2026-09-21
Trey Mancini,Los Angeles Angels,LAA,1B,.308,4,0,4,0,.286,.462,.748,13,14,3,0,5,641820,2026-09-21
Gabriel Moreno,Arizona Diamondbacks,ARI,C,.307,139,15,75,6,.386,.481,.867,453,526,78,59,125,672515,2026-09-21
Dustin Harris,San Diego Padres,SD,LF,.306,34,0,18,9,.363,.396,.759,111,126,17,10,39,687957,2026-09-21
Andrew Vaughn,Milwaukee Brewers,MIL,1B,.306,88,6,43,0,.390,.444,.834,288,331,53,35,104,683734,2026-09-21
Otto Lopez,Miami Marlins,MIA,SS,.305,185,11,71,32,.348,.442,.790,607,664,87,38,152,672640,2026-09-21
Alex Jackson,Minnesota Twins,MIN,C,.304,21,1,5,0,.342,.406,.748,69,73,24,2,33,656577,2026-09-21
Michael Stefanic,Athletics,ATH,2B,.304,7,0,2,0,.360,.348,.708,23,25,6,2,15,683021,2026-09-21
Bryan De La Cruz,Philadelphia Phillies,PHI,RF,.303,20,2,12,0,.351,.439,.790,66,74,16,4,30,650559,2026-09-21
Blaze Alexander,Baltimore Orioles,BAL,3B,.303,79,4,31,10,.358,.414,.772,261,289,63,19,93,677942,2026-09-21
Nick Gonzales,Pittsburgh Pirates,PIT,3B,.302,162,6,60,7,.365,.389,.754,537,592,97,41,144,693304,2026-09-21
Ty France,San Diego Padres,SD,1B,.301,126,21,70,1,.366,.519,.885,418,474,100,34,127,664034,2026-09-21
TJ Rumfield,Colorado Rockies,COL,1B,.300,159,15,70,0,.392,.451,.843,530,613,85,71,150,681198,2026-09-21
Jhonny Pereda,Seattle Mariners,SEA,C,.298,25,2,8,0,.355,.381,.736,84,93,17,7,29,640902,2026-09-21
Jake McCarthy,Colorado Rockies,COL,LF,.297,156,15,83,31,.340,.490,.830,525,572,90,29,141,664983,2026-09-21
